sp;site;orig;ID;ind;blk;trt;DOY;size_end;Torig;Porig;Tdest;Pdest
RAN;GUD;GUD;G_C_1;g1;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_4;g2;g1;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_1;g3;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_4;g4;g1;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_2;g5;g1;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_5;g6;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_3;g7;g1;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_5;g8;g1;c;245;3.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_2;g9;g1;c;245;3.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_3;g10;g1;c;245;3.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_3;g11;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_4;g12;g2;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_3;g13;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_1;g14;g2;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_2;g15;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_1;g16;g2;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_4;g17;g2;c;245;1.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_2;g18;g2;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_5;g19;g2;c;245;2;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_5;g20;g2;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_4;g21;g3;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_3;g22;g3;c;245;4;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_2;g23;g3;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_4;g24;g3;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_5;g25;g3;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_3;g26;g3;c;245;1.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_2;g27;g3;c;245;1.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_C_1;g28;g3;c;245;2.5;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_1;g29;g3;c;245;3;5.87;1925;5.87;1925
RAN;GUD;GUD;G_P_5;g30;g3;c;245;3.5;5.87;1925;5.87;1925
RAN;RAM;GUD;G_C_14;r1;r1;wa;246;8.5;5.87;1925;8.77;1848
RAN;RAM;RAM;R_P_4;r2;r1;c;246;6;8.77;1848;8.77;1848
RAN;RAM;GUD;G_C_12;r3;r1;wa;246;4.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_2;r4;r1;wa;246;3.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_3;r5;r1;wa;246;3.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_13;r6;r1;wa;246;6.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_4;r7;r1;wa;246;6;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_4;r8;r1;wa;246;5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_13;r9;r1;wa;246;3;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_1;r10;r1;wa;246;6;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_3;r11;r1;wa;246;7;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_12;r12;r1;wa;246;7;5.87;1925;8.77;1848
RAN;RAM;RAM;R_P_1;r13;r1;c;246;3.5;8.77;1848;8.77;1848
RAN;RAM;GUD;G_P_2;r14;r1;wa;246;6.5;5.87;1925;8.77;1848
RAN;RAM;RAM;R_C_1;r15;r1;c;246;6.5;8.77;1848;8.77;1848
RAN;RAM;RAM;R_C_3;r16;r1;c;246;5;8.77;1848;8.77;1848
RAN;RAM;RAM;R_P_3;r17;r1;c;246;5;8.77;1848;8.77;1848
RAN;RAM;RAM;R_C_2;r18;r1;c;246;4.5;8.77;1848;8.77;1848
RAN;RAM;RAM;R_P_2;r19;r1;c;246;4.5;8.77;1848;8.77;1848
RAN;RAM;GUD;G_C_11;r20;r1;wa;246;6;5.87;1925;8.77;1848
RAN;RAM;RAM;R_C_4;r21;r1;c;246;5.5;8.77;1848;8.77;1848
RAN;RAM;GUD;G_P_11;r22;r1;wa;246;4;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_14;r23;r1;wa;246;NA;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_1;r24;r1;wa;246;3;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_5;r25;r1;wa;246;5.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_7;r26;r2;wa;246;5.5;5.87;1925;8.77;1848
RAN;RAM;RAM;R_C_5;r27;r2;c;246;4;8.77;1848;8.77;1848
RAN;RAM;GUD;G_P_16;r28;r2;wa;246;3.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_16;r29;r2;wa;246;NA;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_18;r30;r2;wa;246;3;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_8;r31;r2;wa;246;NA;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_7;r32;r2;wa;246;6.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_15;r33;r2;wa;246;3;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_5;r34;r2;wa;246;5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_15;r35;r2;wa;246;NA;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_6;r36;r2;wa;246;3.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_17;r37;r2;wa;246;2;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_8;r38;r2;wa;246;4.5;5.87;1925;8.77;1848
RAN;RAM;RAM;R_P_5;r39;r2;c;246;2.5;8.77;1848;8.77;1848
RAN;RAM;GUD;G_C_18;r40;r2;wa;246;5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_6;r41;r2;wa;246;7;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_17;r42;r2;wa;246;2;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_9;r43;r2;wa;246;3;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_9;r44;r2;wa;246;2;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_20;r45;r2;wa;246;8;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_10;r46;r2;wa;246;4.5;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_10;r47;r2;wa;246;9;5.87;1925;8.77;1848
RAN;RAM;GUD;G_C_19;r48;r2;wa;246;4;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_20;r49;r2;wa;246;NA;5.87;1925;8.77;1848
RAN;RAM;GUD;G_P_19;r50;r2;wa;246;NA;5.87;1925;8.77;1848
RAN;SKJ;GUD;G_P_9;s1;s1;we;245;NA;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_4;s2;s1;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_C_2;s3;s1;c;245;2.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_4;s4;s1;c;245;3;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_C_1;s5;s1;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_3;s6;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_6;s7;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_6;s8;s1;we;245;NA;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_3;s9;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_1;s10;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_2;s11;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_C_8;s12;s1;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_4;s13;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_4;s14;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_3;s15;s1;c;245;1.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_P_1;s16;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_C_7;s17;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_6;s18;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_P_5;s19;s1;c;245;1.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_P_7;s20;s1;c;245;4;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_8;s21;s1;we;245;1.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_C_6;s22;s1;c;245;3;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_1;s23;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_2;s24;s1;we;245;1.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_7;s25;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_2;s26;s1;we;245;4;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_9;s27;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_3;s28;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_5;s29;s1;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_5;s30;s1;we;245;1.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_C_7;s31;s1;c;245;3;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_P_8;s32;s1;c;245;3;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_10;s33;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_10;s34;s1;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_5;s35;s1;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_7;s36;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_2;s37;s2;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_8;s38;s2;we;245;4;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_7;s39;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_C_7;s40;s2;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_P_2;s41;s2;c;245;3.5;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_2;s42;s2;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_6;s43;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_1;s44;s2;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_6;s45;s2;we;245;3;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_C_3;s46;s2;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_3;s47;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_1;s48;s2;we;245;3;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_4;s49;s2;c;245;2.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_1;s50;s2;c;245;2;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_C_3;s51;s2;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_3;s52;s2;c;245;1.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_6;s53;s2;c;245;NA;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_10;s54;s2;we;245;3;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_1;s55;s2;c;245;NA;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_2;s56;s2;c;245;3.5;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_4;s57;s2;we;245;3.5;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_7;s58;s2;c;245;1.5;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_C_9;s59;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_10;s60;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_4;s61;s2;we;245;2.5;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_C_5;s62;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;SKJ;S_P_6;s63;s2;c;245;NA;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_8;s64;s2;c;245;1.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_4;s65;s2;c;245;NA;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_C_5;s66;s2;c;245;1.5;6.58;2725;6.58;2725
RAN;SKJ;SKJ;S_P_5;s67;s2;c;245;NA;6.58;2725;6.58;2725
RAN;SKJ;GUD;G_P_8;s68;s2;we;245;2;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_5;s69;s2;we;245;3;5.87;1925;6.58;2725
RAN;SKJ;GUD;G_P_9;s70;s2;we;245;0.5;5.87;1925;6.58;2725
RAN;VES;RAM;R_C_3;v1;v1;we;246;3;8.77;1848;8.67;3029
RAN;VES;SKJ;S_C_6;v2;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;GUD;G_P_7;v3;v1;ww;246;2.5;5.87;1925;8.67;3029
RAN;VES;VES;V_P_1;v4;v1;c;246;3;8.67;3029;8.67;3029
RAN;VES;RAM;R_C_4;v5;v1;we;246;3.5;8.77;1848;8.67;3029
RAN;VES;SKJ;S_P_6;v6;v1;wa;246;3;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_8;v7;v1;wa;246;3;6.58;2725;8.67;3029
RAN;VES;RAM;R_P_1;v8;v1;we;246;2.5;8.77;1848;8.67;3029
RAN;VES;VES;V_C_6;v9;v1;c;246;3;8.67;3029;8.67;3029
RAN;VES;RAM;R_C_2;v10;v1;we;246;2;8.77;1848;8.67;3029
RAN;VES;GUD;G_C_1;v11;v1;ww;246;2;5.87;1925;8.67;3029
RAN;VES;RAM;R_P_5;v12;v1;we;246;3;8.77;1848;8.67;3029
RAN;VES;VES;V_C_1;v13;v1;c;246;4;8.67;3029;8.67;3029
RAN;VES;SKJ;S_C_1;v14;v1;wa;246;3.5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_2;v15;v1;wa;246;5;6.58;2725;8.67;3029
RAN;VES;VES;V_C_3;v16;v1;c;246;4;8.67;3029;8.67;3029
RAN;VES;VES;V_P_2;v17;v1;c;246;4;8.67;3029;8.67;3029
RAN;VES;VES;V_P_6;v18;v1;c;246;4.5;8.67;3029;8.67;3029
RAN;VES;GUD;G_C_6;v19;v1;ww;246;2;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_9;v20;v1;wa;246;2.5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_1;v21;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_7;v22;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;VES;V_C_4;v23;v1;c;246;3;8.67;3029;8.67;3029
RAN;VES;SKJ;S_C_8;v24;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_7;v25;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_2;v26;v1;ww;246;2.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_4;v27;v1;wa;246;2.5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_C_7;v28;v1;wa;246;5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_C_3;v29;v1;wa;246;3.5;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_8;v30;v1;ww;246;4.5;5.87;1925;8.67;3029
RAN;VES;GUD;G_C_4;v31;v1;ww;246;6;5.87;1925;8.67;3029
RAN;VES;VES;V_P_7;v32;v1;c;246;4.5;8.67;3029;8.67;3029
RAN;VES;GUD;G_P_8;v33;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;VES;V_P_4;v34;v1;c;246;2.5;8.67;3029;8.67;3029
RAN;VES;GUD;G_P_5;v35;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;RAM;R_C_1;v36;v1;we;246;3;8.77;1848;8.67;3029
RAN;VES;GUD;G_C_9;v37;v1;ww;246;2.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_P_3;v38;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;VES;V_C_5;v39;v1;c;246;4.5;8.67;3029;8.67;3029
RAN;VES;RAM;R_P_4;v40;v1;we;246;5;8.77;1848;8.67;3029
RAN;VES;RAM;R_P_2;v41;v1;we;246;2;8.77;1848;8.67;3029
RAN;VES;GUD;G_P_2;v42;v1;ww;246;3.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_P_5;v43;v1;wa;246;5;6.58;2725;8.67;3029
RAN;VES;RAM;R_P_3;v44;v1;we;246;1.5;8.77;1848;8.67;3029
RAN;VES;VES;V_C_2;v45;v1;c;246;2.5;8.67;3029;8.67;3029
RAN;VES;SKJ;S_C_2;v46;v1;wa;246;2;6.58;2725;8.67;3029
RAN;VES;GUD;G_P_6;v47;v1;ww;246;3.5;5.87;1925;8.67;3029
RAN;VES;VES;V_P_3;v48;v1;c;246;4;8.67;3029;8.67;3029
RAN;VES;GUD;G_P_4;v49;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;GUD;G_C_3;v50;v1;ww;246;3.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_P_4;v51;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;GUD;G_P_3;v52;v1;ww;246;5;5.87;1925;8.67;3029
RAN;VES;GUD;G_P_1;v53;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;GUD;G_P_9;v54;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;VES;V_P_5;v55;v1;c;246;4;8.67;3029;8.67;3029
RAN;VES;GUD;G_P_10;v56;v1;ww;246;3;5.87;1925;8.67;3029
RAN;VES;GUD;G_C_5;v57;v1;ww;246;4;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_5;v58;v1;wa;246;3;6.58;2725;8.67;3029
RAN;VES;SKJ;S_C_10;v59;v1;wa;246;4.5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_9;v60;v1;wa;246;4;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_2;v61;v2;ww;246;5;5.87;1925;8.67;3029
RAN;VES;GUD;G_P_3;v62;v2;ww;246;5;5.87;1925;8.67;3029
RAN;VES;VES;V_P_2;v63;v2;c;246;5;8.67;3029;8.67;3029
RAN;VES;VES;V_C_3;v64;v2;c;246;5;8.67;3029;8.67;3029
RAN;VES;SKJ;S_C_6;v65;v2;wa;246;5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_8;v66;v2;wa;246;5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_2;v67;v2;wa;246;6;6.58;2725;8.67;3029
RAN;VES;GUD;G_P_7;v68;v2;ww;246;6;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_2;v69;v2;wa;246;7;6.58;2725;8.67;3029
RAN;VES;VES;V_P_7;v70;v2;c;246;7;8.67;3029;8.67;3029
RAN;VES;SKJ;S_P_3;v71;v2;wa;246;5;6.58;2725;8.67;3029
RAN;VES;VES;V_C_4;v72;v2;c;246;3;8.67;3029;8.67;3029
RAN;VES;SKJ;S_P_7;v73;v2;wa;246;6;6.58;2725;8.67;3029
RAN;VES;SKJ;S_C_3;v74;v2;wa;246;4;6.58;2725;8.67;3029
RAN;VES;VES;V_C_1;v75;v2;c;246;5;8.67;3029;8.67;3029
RAN;VES;GUD;G_P_4;v76;v2;ww;246;4.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_7;v77;v2;wa;246;8.5;6.58;2725;8.67;3029
RAN;VES;VES;V_P_1;v78;v2;c;246;7;8.67;3029;8.67;3029
RAN;VES;SKJ;S_P_9;v79;v2;wa;246;5.5;6.58;2725;8.67;3029
RAN;VES;VES;V_P_3;v80;v2;c;246;4;8.67;3029;8.67;3029
RAN;VES;VES;V_C_7;v81;v2;c;246;4;8.67;3029;8.67;3029
RAN;VES;SKJ;S_P_10;v82;v2;wa;246;2.5;6.58;2725;8.67;3029
RAN;VES;GUD;G_P_9;v83;v2;ww;246;3.5;5.87;1925;8.67;3029
